Column 1;Column 2;Summary;Score;Column 5;CPU;Column 7;Column 8;Motherboard;OS;Column 11;Column 12;GPU;GPU Vendor;Column 15
795;redrockt990;Intel Core i9-8950HKNVIDIA GeForce RTX 2080 Mobile  (TU104BM);7211;Created:13 March 2019 (03:40);CPU Name:Intel Core i9-8950HK;Physical / Logical CPUs: 6 / 12;CPU Clock (max):2904 MHz;Motherboard:ASUS G703GX;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:419.35;GPU Name:GeForce RTX 2080 Mobile  (TU104BM);GPU Vendor:NVIDIA;GPU Memory:8192 MBGPU Memory clock (max):8300 MHzGPU Core clock (max):2100 MHzGPU Temp min/max:34 / 73 C° FPS min/avg/max: 42.15 / 53.94 / 68.3 Detailed score info
796;austingreenuk;Intel Core i9-9900KGigabyte GeForce RTX 2080 SUPER  (TU104);7208;Created:30 December 2019 (04:51);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:ASUS ROG STRIX Z390-H GAMING;OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:441.66;GPU Name:GeForce RTX 2080 SUPER  (TU104);GPU Vendor:Gigabyte;GPU Memory:8192 MBGPU Memory clock (max):7750 MHzGPU Core clock (max):2010 MHzGPU Temp min/max:49 / 64 C° FPS min/avg/max: 42.24 / 53.92 / 64.13 Detailed score info
797;Jeff Eberlin;AMD Ryzen 7 2700X Eight-Core ProcessorASUS GeForce RTX 2080 Rev. A  (TU104);7206;Created:27 March 2019 (21:47);CPU Name:AMD Ryzen 7 2700X Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):4075 MHz;Motherboard:ASUS ROG CROSSHAIR VII HERO (WI-FI);OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:419.67;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):7189 MHzGPU Core clock (max):2055 MHzGPU Temp min/max:31 / 68 C° FPS min/avg/max: 41.58 / 53.9 / 69.08 Detailed score info
798;jrsteinmetz55;Intel Core i5-6600KASUS GeForce RTX 2070 SUPER  (TU104);7201;Created:10 February 2020 (08:22);CPU Name:Intel Core i5-6600K;Physical / Logical CPUs: 4 / 4;CPU Clock (max):3501 MHz;Motherboard:ASUS Z170M-PLUS;OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:441.87;GPU Name:GeForce RTX 2070 SUPER  (TU104);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):7925 MHzGPU Core clock (max):2220 MHzGPU Temp min/max:17 / 46 C° FPS min/avg/max: 41.5 / 53.86 / 70.5 Detailed score info
799;miguel.cahill2016;AMD Ryzen 7 2700X Eight-Core ProcessorNVIDIA GeForce RTX 2070 SUPER  (TU104);7197;Created:03 September 2020 (19:27);CPU Name:AMD Ryzen 7 2700X Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):4200 MHz;Motherboard:ASUS ROG CROSSHAIR VII HERO (WI-FI);OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:432;GPU Name:GeForce RTX 2070 SUPER  (TU104);GPU Vendor:NVIDIA;GPU Memory:8192 MBGPU Memory clock (max):8500 MHzGPU Core clock (max):2160 MHzGPU Temp min/max:38 / 66 C° FPS min/avg/max: 41.41 / 53.83 / 64.24 Detailed score info
800;DoNotF1re;Intel Core i9-9900KGigabyte GeForce RTX 2080 SUPER  (TU104);7196;Created:28 August 2019 (23:20);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:Gigabyte Z390 AORUS PRO WIFI-CF;OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:431.6;GPU Name:GeForce RTX 2080 SUPER  (TU104);GPU Vendor:Gigabyte;GPU Memory:8192 MBGPU Memory clock (max):7750 MHzGPU Core clock (max):1995 MHzGPU Temp min/max:41 / 70 C° FPS min/avg/max: 41.87 / 53.83 / 63.84 Detailed score info
800;Muezick;AMD Ryzen 7 3800X 8-Core ProcessorEVGA GeForce RTX 2080 SUPER  (TU104);7196;Created:30 January 2020 (02:49);CPU Name:AMD Ryzen 7 3800X 8-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3900 MHz;Motherboard:ASRock X570 Taichi;OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:441.87;GPU Name:GeForce RTX 2080 SUPER  (TU104);GPU Vendor:EVGA;GPU Memory:8192 MBGPU Memory clock (max):7750 MHzGPU Core clock (max):1980 MHzGPU Temp min/max:38 / 59 C° FPS min/avg/max: 41.53 / 53.82 / 64.24 Detailed score info
801;shion093;AMD Ryzen 9 3900X 12-Core ProcessorZOTAC GeForce RTX 2080 SUPER  (TU104);7189;Created:18 June 2020 (23:25);CPU Name:AMD Ryzen 9 3900X 12-Core Processor;Physical / Logical CPUs: 12 / 24;CPU Clock (max):3793 MHz;Motherboard:ASUS ROG STRIX X570-I GAMING;OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:446.14;GPU Name:GeForce RTX 2080 SUPER  (TU104);GPU Vendor:ZOTAC;GPU Memory:8192 MBGPU Memory clock (max):7750 MHzGPU Core clock (max):1995 MHzGPU Temp min/max:35 / 59 C° FPS min/avg/max: 41.6 / 53.78 / 63.74 Detailed score info
802;Chocokakke;Intel Core i7-7700KMSI GeForce RTX 2080 Rev. A  (TU104);7188;Created:26 March 2019 (22:21);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4200 MHz;Motherboard:ASUS PRIME Z270-A;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:419.35;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:MSI;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):2010 MHzGPU Temp min/max:37 / 70 C° FPS min/avg/max: 41.54 / 53.76 / 67.22 Detailed score info
803;paravia@gmail.com;AMD Ryzen 7 2700X Eight-Core ProcessorEVGA GeForce RTX 2080 SUPER  (TU104);7185;Created:11 April 2020 (08:53);CPU Name:AMD Ryzen 7 2700X Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3700 MHz;Motherboard:ASRock X470 Taichi;OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:445.78;GPU Name:GeForce RTX 2080 SUPER  (TU104);GPU Vendor:EVGA;GPU Memory:8192 MBGPU Memory clock (max):7750 MHzGPU Core clock (max):1980 MHzGPU Temp min/max:47 / 74 C° FPS min/avg/max: 40.95 / 53.75 / 69.86 Detailed score info
804;OMGitsKevinB;Intel Core i7-6700KASUS GeForce RTX 2080 Rev. A  (TU104);7183;Created:23 January 2019 (07:20);CPU Name:Intel Core i7-6700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4001 MHz;Motherboard:ASUSTeK Z170-A;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:417.71;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):2040 MHzGPU Temp min/max:27 / 59 C° FPS min/avg/max: 41.21 / 53.73 / 69.32 Detailed score info
805;ninjaatheist;AMD Ryzen 5 2600 Six-Core ProcessorASUS GeForce RTX 2080 Rev. A  (TU104);7170;Created:10 October 2020 (14:44);CPU Name:AMD Ryzen 5 2600 Six-Core Processor;Physical / Logical CPUs: 6 / 12;CPU Clock (max):4075 MHz;Motherboard:ASUS ROG STRIX B450-F GAMING;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):7004 MHzGPU Core clock (max):2085 MHzGPU Temp min/max:28 / 57 C° FPS min/avg/max: 40.05 / 53.63 / 67.49 Detailed score info
806;Lefty23;Intel Core i7-8700KASUS GeForce GTX 1080 Ti  (GP102);7169;Created:13 January 2018 (08:31);CPU Name:Intel Core i7-8700K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3696 MHz;Motherboard:ASUS ROG MAXIMUS X APEX;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:390.65;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:ASUS;GPU Memory:11264 MBGPU Memory clock (max):6277 MHzGPU Core clock (max):2176 MHzGPU Temp min/max:18 / 33 C° FPS min/avg/max: 41.8 / 53.62 / 70.86 Detailed score info
807;ibbouk;Intel Core i7-9700KGigabyte GeForce RTX 2080 SUPER;7166;Created:29 October 2020 (14:59);CPU Name:Intel Core i7-9700K;Physical / Logical CPUs: 8 / 8;CPU Clock (max):3600 MHz;Motherboard:Gigabyte Z390 AORUS ULTRA-CF;OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:456.71;GPU Name:GeForce RTX 2080 SUPER;GPU Vendor:Gigabyte;GPU Memory:8192 MBGPU Memory clock (max):7850 MHzGPU Core clock (max):2055 MHzGPU Temp min/max:61 / 85 C° FPS min/avg/max: 41.69 / 53.6 / 68.3 Detailed score info
808;Steelcityfan;Intel Core i5-9600KASUS GeForce RTX 2080 SUPER  (TU104);7164;Created:20 March 2020 (03:48);CPU Name:Intel Core i5-9600K;Physical / Logical CPUs: 6 / 6;CPU Clock (max):3696 MHz;Motherboard:Gigabyte Z390 AORUS PRO-CF;OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:442.59;GPU Name:GeForce RTX 2080 SUPER  (TU104);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):7810 MHzGPU Core clock (max):2100 MHzGPU Temp min/max:29 / 46 C° FPS min/avg/max: 38.62 / 53.58 / 66.48 Detailed score info
809;VendettaX05;AMD Ryzen 7 2700 Eight-Core ProcessorZOTAC GeForce RTX 2080 Rev. A  (TU104);7152;Created:18 February 2019 (02:51);CPU Name:AMD Ryzen 7 2700 Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3425 MHz;Motherboard:MSI B450M BAZOOKA (MS-7A38);OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:418.91;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:ZOTAC;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):2055 MHzGPU Temp min/max:40 / 66 C° FPS min/avg/max: 41.91 / 53.49 / 69.78 Detailed score info
810;linkseer;Intel Core i7-8700KZOTAC GeForce RTX 2080 Rev. A  (TU104);7148;Created:14 December 2018 (02:42);CPU Name:Intel Core i7-8700K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3696 MHz;Motherboard:ASRock Z370 Pro4-CB;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:417.22;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:ZOTAC;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):2040 MHzGPU Temp min/max:31 / 61 C° FPS min/avg/max: 41.92 / 53.47 / 67.49 Detailed score info
810;Jori;AMD Ryzen Threadripper 1920X 12-Core ProcessorGigabyte GeForce RTX 2080;7148;Created:06 May 2019 (05:21);CPU Name:AMD Ryzen Threadripper 1920X 12-Core Processor;Physical / Logical CPUs: 12 / 24;CPU Clock (max):3800 MHz;Motherboard:ASUS ROG STRIX X399-E GAMING;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:430.39;GPU Name:GeForce RTX 2080;GPU Vendor:Gigabyte;GPU Memory:8192 MBGPU Memory clock (max):7059 MHzGPU Core clock (max):2100 MHzGPU Temp min/max:35 / 54 C° FPS min/avg/max: 41.86 / 53.46 / 70.32 Detailed score info
811;Gui Ambros;Intel Core i9-9900KEVGA GeForce RTX 2080 Rev. A  (TU104);7143;Created:23 November 2019 (17:12);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:ASUS ROG MAXIMUS XI CODE;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:430.86;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:EVGA;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):1995 MHzGPU Temp min/max:25 / 51 C° FPS min/avg/max: 41.89 / 53.43 / 68.57 Detailed score info
812;capntypo;AMD Ryzen 9 3900X 12-Core ProcessorEVGA GeForce RTX 2080 SUPER  (TU104);7142;Created:01 September 2020 (00:41);CPU Name:AMD Ryzen 9 3900X 12-Core Processor;Physical / Logical CPUs: 12 / 24;CPU Clock (max):4350 MHz;Motherboard:MSI MEG X570 GODLIKE (MS-7C34);OS:Windows 10  (build 19041);Graphics API: DirectX ;GPU Driver:452.06;GPU Name:GeForce RTX 2080 SUPER  (TU104);GPU Vendor:EVGA;GPU Memory:8192 MBGPU Memory clock (max):7750 MHzGPU Core clock (max):1950 MHzGPU Temp min/max:41 / 63 C° FPS min/avg/max: 41.78 / 53.42 / 69.51 Detailed score info
812;zavicblade;AMD Ryzen 7 1700X Eight-Core ProcessorASUS GeForce GTX 1080 Ti  (GP102);7142;Created:20 July 2018 (08:11);CPU Name:AMD Ryzen 7 1700X Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3900 MHz;Motherboard:ASRock X370 Taichi;OS:Windows 10  (build 17134);Graphics API: DirectX ;GPU Driver:398.36;GPU Name:GeForce GTX 1080 Ti  (GP102);GPU Vendor:ASUS;GPU Memory:11264 MBGPU Memory clock (max):6300 MHzGPU Core clock (max):2037 MHzGPU Temp min/max:39 / 62 C° FPS min/avg/max: 43.88 / 53.42 / 60.82 Detailed score info
813;TwinONE->;Intel Core i9-9900KGigabyte GeForce RTX 2080 Rev. A  (TU104);7128;Created:26 November 2019 (23:00);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:Gigabyte Z390 DESIGNARE-CF;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:441.28;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:Gigabyte;GPU Memory:8192 MBGPU Memory clock (max):7069 MHzGPU Core clock (max):2055 MHzGPU Temp min/max:29 / 46 C° FPS min/avg/max: 42.09 / 53.32 / 65.47 Detailed score info
814;ItsClint;Intel Core i5-3570KEVGA GeForce RTX 2070 SUPER  (TU104);7123;Created:03 August 2020 (20:39);CPU Name:Intel Core i5-3570K;Physical / Logical CPUs: 4 / 4;CPU Clock (max):3401 MHz;Motherboard:ASRock Z77 Extreme4;OS:Windows 7  (build 7601);Graphics API: DirectX ;GPU Driver:451.67;GPU Name:GeForce RTX 2070 SUPER  (TU104);GPU Vendor:EVGA;GPU Memory:8192 MBGPU Memory clock (max):8100 MHzGPU Core clock (max):2190 MHzGPU Temp min/max:30 / 62 C° FPS min/avg/max: 41.3 / 53.28 / 65.94 Detailed score info
814;apharot;Intel Core i9-9900KMSI GeForce RTX 2080 Rev. A  (TU104);7123;Created:17 April 2020 (23:23);CPU Name:Intel Core i9-9900K;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3600 MHz;Motherboard:MSI MEG Z390 GODLIKE (MS-7B10);OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:445.87;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:MSI;GPU Memory:8192 MBGPU Memory clock (max):7750 MHzGPU Core clock (max):2130 MHzGPU Temp min/max:29 / 58 C° FPS min/avg/max: 44.68 / 53.28 / 67.83 Detailed score info
814;demuregamer;AMD Ryzen 7 2700X Eight-Core ProcessorASUS GeForce RTX 2080 Rev. A  (TU104);7123;Created:28 January 2019 (13:49);CPU Name:AMD Ryzen 7 2700X Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):4000 MHz;Motherboard:ASUSTeK ROG CROSSHAIR VII HERO (WI-FI);OS:Windows 10  (build 17134);Graphics API: DirectX ;GPU Driver:417.71;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):7099 MHzGPU Core clock (max):2055 MHzGPU Temp min/max:37 / 63 C° FPS min/avg/max: 41.74 / 53.28 / 71.39 Detailed score info
815;ricky bennici;Intel Core i7-5930KNVIDIA TITAN Xp  (GP102);7111;Created:23 April 2017 (21:05);CPU Name:Intel Core i7-5930K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3501 MHz;Motherboard:ASUS RAMPAGE V EXTREME;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:381.65;GPU Name:TITAN Xp  (GP102);GPU Vendor:NVIDIA;GPU Memory:12288 MBGPU Memory clock (max):6552 MHzGPU Core clock (max):2126 MHzGPU Temp min/max:27 / 39 C° FPS min/avg/max: 41.68 / 53.19 / 64.68 Detailed score info
816;DJ Ghini;Intel Core i7-8700KZOTAC GeForce RTX 2080 Rev. A  (TU104);7109;Created:26 December 2018 (08:06);CPU Name:Intel Core i7-8700K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3696 MHz;Motherboard:ASUSTeK PRIME Z370-P;OS:Windows 10  (build 17134);Graphics API: DirectX ;GPU Driver:417.35;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:ZOTAC;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):1995 MHzGPU Temp min/max:39 / 67 C° FPS min/avg/max: 41.73 / 53.17 / 63.28 Detailed score info
817;dotnetted;Intel Core i7-7700KEVGA GeForce RTX 2080 SUPER  (TU104);7108;Created:29 August 2019 (04:23);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4200 MHz;Motherboard:MSI Z270 GAMING M7 (MS-7A57);OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:436.15;GPU Name:GeForce RTX 2080 SUPER  (TU104);GPU Vendor:EVGA;GPU Memory:8192 MBGPU Memory clock (max):7750 MHzGPU Core clock (max):1965 MHzGPU Temp min/max:48 / 75 C° FPS min/avg/max: 41.16 / 53.17 / 69.09 Detailed score info
818;minywheats;AMD Ryzen 5 3600 6-Core ProcessorGigabyte GeForce RTX 2070 SUPER;7095;Created:12 May 2020 (06:55);CPU Name:AMD Ryzen 5 3600 6-Core Processor;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3600 MHz;Motherboard:ASRock X570 Phantom Gaming 4 WiFi ax;OS:Windows 10  (build 18363);Graphics API: DirectX ;GPU Driver:445.87;GPU Name:GeForce RTX 2070 SUPER;GPU Vendor:Gigabyte;GPU Memory:8192 MBGPU Memory clock (max):8000 MHzGPU Core clock (max):2160 MHzGPU Temp min/max:30 / 59 C° FPS min/avg/max: 41.3 / 53.07 / 69.99 Detailed score info
819;Senzenzo;AMD Ryzen 7 2700X Eight-Core ProcessorMSI GeForce RTX 2080 Rev. A  (TU104);7092;Created:30 November 2018 (17:02);CPU Name:AMD Ryzen 7 2700X Eight-Core Processor;Physical / Logical CPUs: 8 / 16;CPU Clock (max):3700 MHz;Motherboard:MSI X470 GAMING M7 AC (MS-7B77);OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:417.01;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:MSI;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):2010 MHzGPU Temp min/max:29 / 57 C° FPS min/avg/max: 41.6 / 53.05 / 68.03 Detailed score info
820;pierre;Intel Xeon E5-1620 v4MSI GeForce RTX 2080 Rev. A  (TU104);7083;Created:24 October 2018 (09:41);CPU Name:Intel Xeon E5-1620 v4;Physical / Logical CPUs: 4 / 8;CPU Clock (max):3500 MHz;Motherboard:HP 212B;OS:Windows 10  (build 17134);Graphics API: DirectX ;GPU Driver:416.34;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:MSI;GPU Memory:8192 MBGPU Memory clock (max):7065 MHzGPU Core clock (max):2055 MHzGPU Temp min/max:50 / 70 C° FPS min/avg/max: 41.81 / 52.98 / 66.61 Detailed score info
820;Kosta;Intel Core i7-7700ASUS GeForce RTX 2070 SUPER  (TU104);7083;Created:21 January 2020 (10:38);CPU Name:Intel Core i7-7700;Physical / Logical CPUs: 4 / 8;CPU Clock (max):3600 MHz;Motherboard:ASUS STRIX Z270H GAMING;OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:441.87;GPU Name:GeForce RTX 2070 SUPER  (TU104);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):8000 MHzGPU Core clock (max):2145 MHzGPU Temp min/max:25 / 51 C° FPS min/avg/max: 41.17 / 52.98 / 68.23 Detailed score info
821;DMac;AMD Ryzen Threadripper 1950X 16-Core ProcessorNVIDIA TITAN Xp  (GP102);7079;Created:01 September 2017 (00:57);CPU Name:AMD Ryzen Threadripper 1950X 16-Core Processor;Physical / Logical CPUs: 16 / 32;CPU Clock (max):4000 MHz;Motherboard:ASUS ROG ZENITH EXTREME;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:385.41;GPU Name:TITAN Xp  (GP102);GPU Vendor:NVIDIA;GPU Memory:12288 MBGPU Memory clock (max):6528 MHzGPU Core clock (max):2126 MHzGPU Temp min/max:29 / 35 C° FPS min/avg/max: 42.3 / 52.95 / 65.42 Detailed score info
822;Space_Mau5e;AMD FX-9590 Eight-Core ProcessorGigabyte GeForce RTX 2070 SUPER  (TU104);7076;Created:15 August 2019 (06:31);CPU Name:AMD FX-9590 Eight-Core Processor;Physical / Logical CPUs: 8 / 8;CPU Clock (max):4700 MHz;Motherboard:Gigabyte GA-990FX-GAMING;OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:431.6;GPU Name:GeForce RTX 2070 SUPER  (TU104);GPU Vendor:Gigabyte;GPU Memory:8192 MBGPU Memory clock (max):7451 MHzGPU Core clock (max):2175 MHzGPU Temp min/max:31 / 56 C° FPS min/avg/max: 41.18 / 52.93 / 71.72 Detailed score info
823;MerlotMassacre;Intel Core i7-7700KMSI GeForce RTX 2080 SUPER  (TU104);7073;Created:11 September 2019 (19:31);CPU Name:Intel Core i7-7700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4200 MHz;Motherboard:MSI Z270 GAMING PRO CARBON (MS-7A63);OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:436.3;GPU Name:GeForce RTX 2080 SUPER  (TU104);GPU Vendor:MSI;GPU Memory:8192 MBGPU Memory clock (max):9250 MHzGPU Core clock (max):2115 MHzGPU Temp min/max:35 / 58 C° FPS min/avg/max: 41.88 / 52.91 / 67.95 Detailed score info
824;valkokallio;Intel Core i7-8700KNVIDIA TITAN Xp COLLECTORS EDITION  (GP102);7063;Created:11 October 2018 (22:43);CPU Name:Intel Core i7-8700K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3696 MHz;Motherboard:ASUSTeK ROG MAXIMUS X HERO (WI-FI AC);OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:416.16;GPU Name:TITAN Xp COLLECTORS EDITION  (GP102);GPU Vendor:NVIDIA;GPU Memory:12288 MBGPU Memory clock (max):6385 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:43 / 71 C° FPS min/avg/max: 43.24 / 52.83 / 64 Detailed score info
825;Jsw1f7;Intel Core i7-6950XMSI GeForce RTX 2080 Rev. A  (TU104);7043;Created:24 February 2020 (23:20);CPU Name:Intel Core i7-6950X;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3001 MHz;Motherboard:ASUS RAMPAGE V EDITION 10;OS:Windows 10  (build 18362);Graphics API: DirectX ;GPU Driver:442.19;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:MSI;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):2040 MHzGPU Temp min/max:28 / 45 C° FPS min/avg/max: 41.63 / 52.68 / 67.86 Detailed score info
826;aragon;Intel Core i7-6950XNVIDIA TITAN Xp  (GP102);7034;Created:03 September 2017 (14:30);CPU Name:Intel Core i7-6950X;Physical / Logical CPUs: 10 / 20;CPU Clock (max):3001 MHz;Motherboard:ASUS RAMPAGE V EDITION 10;OS:Windows 10  (build 15063);Graphics API: DirectX ;GPU Driver:384.94;GPU Name:TITAN Xp  (GP102);GPU Vendor:NVIDIA;GPU Memory:12288 MBGPU Memory clock (max):6237 MHzGPU Core clock (max):2113 MHzGPU Temp min/max:33 / 43 C° FPS min/avg/max: 42.13 / 52.61 / 63.23 Detailed score info
827;jjvalent;Intel Core i7-6800KASUS GeForce RTX 2080 Rev. A  (TU104);7033;Created:22 December 2018 (03:06);CPU Name:Intel Core i7-6800K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3401 MHz;Motherboard:ASUSTeK X99-DELUXE;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:417.35;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:ASUS;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):1995 MHzGPU Temp min/max:41 / 68 C° FPS min/avg/max: 40.55 / 52.61 / 67.98 Detailed score info
828;Monstar33;AMD FX-8350 Eight-Core ProcessorEVGA GeForce RTX 2080 Rev. A  (TU104);7022;Created:06 January 2019 (18:42);CPU Name:AMD FX-8350 Eight-Core Processor;Physical / Logical CPUs: 8 / 8;CPU Clock (max):4621 MHz;Motherboard:Gigabyte 990FXA-UD3;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:417.35;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:EVGA;GPU Memory:8192 MBGPU Memory clock (max):7750 MHzGPU Core clock (max):2040 MHzGPU Temp min/max:37 / 66 C° FPS min/avg/max: 40.73 / 52.53 / 66.2 Detailed score info
829;skynnett;Intel Core i7-6700KNVIDIA GeForce RTX 2080 Rev. A  (TU104);7013;Created:21 October 2018 (23:31);CPU Name:Intel Core i7-6700K;Physical / Logical CPUs: 4 / 8;CPU Clock (max):4008 MHz;Motherboard:MSI Z170A MPOWER GAMING TITANIUM(MS-7A16);OS:Windows 10  (build 17134);Graphics API: DirectX ;GPU Driver:416.34;GPU Name:GeForce RTX 2080 Rev. A  (TU104);GPU Vendor:NVIDIA;GPU Memory:8192 MBGPU Memory clock (max):7000 MHzGPU Core clock (max):2040 MHzGPU Temp min/max:31 / 73 C° FPS min/avg/max: 40.97 / 52.46 / 65.64 Detailed score info
830;Mouser;Intel Core i7-8700KNVIDIA TITAN Xp COLLECTORS EDITION  (GP102);7011;Created:24 October 2018 (21:20);CPU Name:Intel Core i7-8700K;Physical / Logical CPUs: 6 / 12;CPU Clock (max):3696 MHz;Motherboard:ASRock Z370 Taichi;OS:Windows 10  (build 17763);Graphics API: DirectX ;GPU Driver:416.34;GPU Name:TITAN Xp COLLECTORS EDITION  (GP102);GPU Vendor:NVIDIA;GPU Memory:12288 MBGPU Memory clock (max):6106 MHzGPU Core clock (max):2050 MHzGPU Temp min/max:26 / 53 C° FPS min/avg/max: 42.18 / 52.44 / 61.98 Detailed score info
